=== Font Debug Output (PID: 84546) ===
Total fonts: 977

   0: Maple Mono | /Users/kawayww/proj/typst_blog/assets/fonts/MapleMono-Bold.otf | idx=0 | Normal-700-FontStretch(1000)
   1: Maple Mono | /Users/kawayww/proj/typst_blog/assets/fonts/MapleMono-Italic.otf | idx=0 | Italic-400-FontStretch(1000)
   2: Maple Mono | /Users/kawayww/proj/typst_blog/assets/fonts/MapleMono-Regular.otf | idx=0 | Normal-400-FontStretch(1000)
   3: Luciole Math | /Users/kawayww/proj/typst_blog/assets/fonts/Luciole-Math/Luciole-Math.otf | idx=0 | Normal-400-FontStretch(1000)
   4: Arial Unicode MS | /System/Library/Fonts/Supplemental/Arial Unicode.ttf | idx=0 | Normal-400-FontStretch(1000)
   5: FiraMono Nerd Font | /Library/Fonts/Nix Fonts/jnzl7ibwkqv9y0cgp8s0dwg1y00l6jyj-nerd-fonts-fira-mono-3.4.0+3.206/share/fonts/opentype/NerdFonts/FiraMono/FiraMonoNerdFont-Bold.otf | idx=0 | Normal-700-FontStretch(1000)
   6: FiraMono Nerd Font Propo | /Library/Fonts/Nix Fonts/jnzl7ibwkqv9y0cgp8s0dwg1y00l6jyj-nerd-fonts-fira-mono-3.4.0+3.206/share/fonts/opentype/NerdFonts/FiraMono/FiraMonoNerdFontPropo-Regular.otf | idx=0 | Normal-400-FontStretch(1000)
   7: FiraMono Nerd Font Mono | /Library/Fonts/Nix Fonts/jnzl7ibwkqv9y0cgp8s0dwg1y00l6jyj-nerd-fonts-fira-mono-3.4.0+3.206/share/fonts/opentype/NerdFonts/FiraMono/FiraMonoNerdFontMono-Regular.otf | idx=0 | Normal-400-FontStretch(1000)
   8: FiraMono Nerd Font | /Library/Fonts/Nix Fonts/jnzl7ibwkqv9y0cgp8s0dwg1y00l6jyj-nerd-fonts-fira-mono-3.4.0+3.206/share/fonts/opentype/NerdFonts/FiraMono/FiraMonoNerdFont-Medium.otf | idx=0 | Normal-500-FontStretch(1000)
   9: FiraMono Nerd Font Mono | /Library/Fonts/Nix Fonts/jnzl7ibwkqv9y0cgp8s0dwg1y00l6jyj-nerd-fonts-fira-mono-3.4.0+3.206/share/fonts/opentype/NerdFonts/FiraMono/FiraMonoNerdFontMono-Bold.otf | idx=0 | Normal-700-FontStretch(1000)
  10: FiraMono Nerd Font Propo | /Library/Fonts/Nix Fonts/jnzl7ibwkqv9y0cgp8s0dwg1y00l6jyj-nerd-fonts-fira-mono-3.4.0+3.206/share/fonts/opentype/NerdFonts/FiraMono/FiraMonoNerdFontPropo-Medium.otf | idx=0 | Normal-500-FontStretch(1000)
  11: FiraMono Nerd Font Mono | /Library/Fonts/Nix Fonts/jnzl7ibwkqv9y0cgp8s0dwg1y00l6jyj-nerd-fonts-fira-mono-3.4.0+3.206/share/fonts/opentype/NerdFonts/FiraMono/FiraMonoNerdFontMono-Medium.otf | idx=0 | Normal-500-FontStretch(1000)
  12: FiraMono Nerd Font Propo | /Library/Fonts/Nix Fonts/jnzl7ibwkqv9y0cgp8s0dwg1y00l6jyj-nerd-fonts-fira-mono-3.4.0+3.206/share/fonts/opentype/NerdFonts/FiraMono/FiraMonoNerdFontPropo-Bold.otf | idx=0 | Normal-700-FontStretch(1000)
  13: FiraMono Nerd Font | /Library/Fonts/Nix Fonts/jnzl7ibwkqv9y0cgp8s0dwg1y00l6jyj-nerd-fonts-fira-mono-3.4.0+3.206/share/fonts/opentype/NerdFonts/FiraMono/FiraMonoNerdFont-Regular.otf | idx=0 | Normal-400-FontStretch(1000)
  14: Noto Color Emoji | /Library/Fonts/Nix Fonts/3qvlghrj6xcyg39xkjk3li8fszk44ssf-noto-fonts-color-emoji-2.051/share/fonts/noto/NotoColorEmoji.ttf | idx=0 | Normal-400-FontStretch(1000)
  15: LXGW WenKai | /Library/Fonts/Nix Fonts/ap6zmbhdhr4svm8is842kph6yxw55i3x-lxgw-wenkai-1.521/share/fonts/truetype/LXGWWenKai-Medium.ttf | idx=0 | Normal-500-FontStretch(1000)
  16: LXGW WenKai Mono | /Library/Fonts/Nix Fonts/ap6zmbhdhr4svm8is842kph6yxw55i3x-lxgw-wenkai-1.521/share/fonts/truetype/LXGWWenKaiMono-Light.ttf | idx=0 | Normal-300-FontStretch(1000)
  17: LXGW WenKai | /Library/Fonts/Nix Fonts/ap6zmbhdhr4svm8is842kph6yxw55i3x-lxgw-wenkai-1.521/share/fonts/truetype/LXGWWenKai-Light.ttf | idx=0 | Normal-300-FontStretch(1000)
  18: LXGW WenKai Mono | /Library/Fonts/Nix Fonts/ap6zmbhdhr4svm8is842kph6yxw55i3x-lxgw-wenkai-1.521/share/fonts/truetype/LXGWWenKaiMono-Regular.ttf | idx=0 | Normal-400-FontStretch(1000)
  19: LXGW WenKai Mono | /Library/Fonts/Nix Fonts/ap6zmbhdhr4svm8is842kph6yxw55i3x-lxgw-wenkai-1.521/share/fonts/truetype/LXGWWenKaiMono-Medium.ttf | idx=0 | Normal-500-FontStretch(1000)
  20: LXGW WenKai | /Library/Fonts/Nix Fonts/ap6zmbhdhr4svm8is842kph6yxw55i3x-lxgw-wenkai-1.521/share/fonts/truetype/LXGWWenKai-Regular.ttf | idx=0 | Normal-400-FontStretch(1000)
  21: Symbols Nerd Font Mono | /Library/Fonts/Nix Fonts/nx2sbirmkfs45m87x3narrxs7cvfvj5c-nerd-fonts-symbols-only-3.4.0/share/fonts/truetype/NerdFonts/Symbols/SymbolsNerdFontMono-Regular.ttf | idx=0 | Normal-400-FontStretch(1000)
  22: Symbols Nerd Font | /Library/Fonts/Nix Fonts/nx2sbirmkfs45m87x3narrxs7cvfvj5c-nerd-fonts-symbols-only-3.4.0/share/fonts/truetype/NerdFonts/Symbols/SymbolsNerdFont-Regular.ttf | idx=0 | Normal-400-FontStretch(1000)
  23: Maple Mono NF | /Library/Fonts/Nix Fonts/sj86cycik4gzvs056m0j9f3ngshjc1mx-MapleMono-NF-CN-7.6/share/fonts/truetype/MapleMono-NF-CN-Bold.ttf | idx=0 | Normal-700-FontStretch(1000)
  24: Maple Mono NF | /Library/Fonts/Nix Fonts/sj86cycik4gzvs056m0j9f3ngshjc1mx-MapleMono-NF-CN-7.6/share/fonts/truetype/MapleMono-NF-CN-Medium.ttf | idx=0 | Normal-500-FontStretch(1000)
  25: Maple Mono NF | /Library/Fonts/Nix Fonts/sj86cycik4gzvs056m0j9f3ngshjc1mx-MapleMono-NF-CN-7.6/share/fonts/truetype/MapleMono-NF-CN-Thin.ttf | idx=0 | Normal-250-FontStretch(1000)
  26: Maple Mono NF | /Library/Fonts/Nix Fonts/sj86cycik4gzvs056m0j9f3ngshjc1mx-MapleMono-NF-CN-7.6/share/fonts/truetype/MapleMono-NF-CN-Light.ttf | idx=0 | Normal-300-FontStretch(1000)
  27: Maple Mono NF | /Library/Fonts/Nix Fonts/sj86cycik4gzvs056m0j9f3ngshjc1mx-MapleMono-NF-CN-7.6/share/fonts/truetype/MapleMono-NF-CN-LightItalic.ttf | idx=0 | Italic-300-FontStretch(1000)
